['129.2.a.b', '129.2.a.d']
['1290.2.a.b', '258.2.a.b']
['1290.2.a.f', '1290.2.a.h']
['1290.2.a.n', '1290.2.a.r']
['1290.2.a.r', '258.2.a.f']
['1296.2.a.d', '6480.2.a.d']
['1296.2.a.e', '6480.2.a.bc']
['1296.2.a.h', '6480.2.a.s']
['1296.2.a.i', '6480.2.a.bl']
['130.2.a.c', '26.2.a.b']
['1300.2.a.b', '1300.2.a.j']
['1300.2.a.c', '1300.2.a.d']
['1300.2.a.f', '1300.2.a.k']
['1300.2.a.g', '1300.2.a.k']
['1300.2.a.h', '1300.2.a.j']
['1302.2.a.c', '6510.2.a.be']
['1302.2.a.k', '6510.2.a.ca']
['1302.2.a.o', '6510.2.a.bc']
['1305.2.a.c', '1305.2.a.o']
['1305.2.a.e', '1305.2.a.m']
['1305.2.a.o', '261.2.a.d']
['1308.2.a.b', '1308.2.a.h']
['1308.2.a.f', '1308.2.a.h']
['1309.2.a.b', '6545.2.a.a']
['1311.2.a.b', '1311.2.a.h']
['1311.2.a.d', '6555.2.a.l']
['1311.2.a.g', '6555.2.a.c']
['1311.2.a.h', '6555.2.a.e']
['1312.2.a.d', '6560.2.a.l']
['1312.2.a.e', '6560.2.a.a']
['1314.2.a.g', '6570.2.a.by']
['1314.2.a.n', '6570.2.a.n']
['1315.2.a.c', '1315.2.a.g']
['1315.2.a.d', '1315.2.a.g']
['1320.2.a.j', '264.2.a.d']
['1323.2.a.d', '6615.2.a.e']
['1323.2.a.d', '1323.2.a.u']
['1323.2.a.d', '6615.2.a.bb']
['1323.2.a.g', '6615.2.a.c']
['1323.2.a.g', '1323.2.a.v']
['1323.2.a.g', '6615.2.a.ba']
['1323.2.a.m', '6615.2.a.z']
['1323.2.a.m', '1323.2.a.v']
['1323.2.a.m', '6615.2.a.h']
['1323.2.a.p', '1323.2.a.u']
['1323.2.a.p', '6615.2.a.y']
['1323.2.a.p', '6615.2.a.f']
['1323.2.a.u', '6615.2.a.e']
['1323.2.a.u', '6615.2.a.y']
['1323.2.a.u', '6615.2.a.f']
['1323.2.a.u', '6615.2.a.bb']
['1323.2.a.v', '6615.2.a.z']
['1323.2.a.v', '6615.2.a.c']
['1323.2.a.v', '6615.2.a.h']
['1323.2.a.v', '6615.2.a.ba']
['1325.2.a.a', '1325.2.a.p']
['1325.2.a.d', '1325.2.a.m']
['1325.2.a.e', '1325.2.a.o']
['1325.2.a.q', '53.2.a.a']
['1326.2.a.f', '6630.2.a.f']
['1326.2.a.k', '6630.2.a.s']
['1330.2.a.a', '266.2.a.a']
['1332.2.a.e', '6660.2.a.r']
['1332.2.a.e', '1332.2.a.g']
['1332.2.a.g', '6660.2.a.r']
['1332.2.a.g', '6660.2.a.e']
['1338.2.a.d', '6690.2.a.e']
['1340.2.a.c', '268.2.a.c']
['1340.2.a.g', '268.2.a.c']
['1342.2.a.h', '6710.2.a.e']
['1344.2.a.a', '6720.2.a.bd']
['1344.2.a.j', '6720.2.a.da']
['1344.2.a.k', '6720.2.a.cb']
['1344.2.a.t', '6720.2.a.db']
['1350.2.a.a', '1350.2.a.h']
['1350.2.a.b', '1350.2.a.g']
['1350.2.a.e', '1350.2.a.w']
['1350.2.a.f', '1350.2.a.j']
['1350.2.a.i', '1350.2.a.w']
['1350.2.a.l', '1350.2.a.s']
['1350.2.a.m', '1350.2.a.r']
['1350.2.a.n', '1350.2.a.x']
['1350.2.a.q', '1350.2.a.v']
['1350.2.a.t', '1350.2.a.x']
['1353.2.a.a', '1353.2.a.k']
['1353.2.a.i', '6765.2.a.e']
['1356.2.a.e', '6780.2.a.e']
['1358.2.a.a', '1358.2.a.h']
['1358.2.a.c', '1358.2.a.i']
['136.2.a.b', '3400.2.a.o']
['1360.2.a.a', '1360.2.a.i']
['1362.2.a.c', '1362.2.a.g']
['1368.2.a.a', '6840.2.a.bo']
['1368.2.a.b', '1368.2.a.l']
['1368.2.a.b', '6840.2.a.bk']
['1368.2.a.d', '6840.2.a.k']
['1368.2.a.g', '1368.2.a.l']
['1368.2.a.h', '6840.2.a.bj']
['1368.2.a.j', '6840.2.a.bi']
['1368.2.a.l', '6840.2.a.bk']
['1368.2.a.m', '6840.2.a.bi']
['1368.2.a.m', '6840.2.a.a']
['1368.2.a.o', '6840.2.a.q']
['1368.2.a.o', '6840.2.a.bo']
['1378.2.a.c', '6890.2.a.l']
['138.2.a.b', '3450.2.a.bp']
['1380.2.a.a', '1380.2.a.b']
['1386.2.a.e', '6930.2.a.g']
['1386.2.a.l', '6930.2.a.u']
['1392.2.a.a', '6960.2.a.m']
['1392.2.a.b', '1392.2.a.h']
['1392.2.a.c', '1392.2.a.r']
['1392.2.a.m', '6960.2.a.bo']
['1392.2.a.n', '6960.2.a.bm']
['1392.2.a.p', '6960.2.a.bb']
['1394.2.a.a', '1394.2.a.e']
['1394.2.a.g', '1394.2.a.l']
['1395.2.a.b', '1395.2.a.h']
['1395.2.a.e', '1395.2.a.i']
['1398.2.a.c', '6990.2.a.c']
['1398.2.a.c', '6990.2.a.f']
['14.2.a.a', '350.2.a.c']
['1400.2.a.a', '1400.2.a.n']
['1400.2.a.a', '1400.2.a.b']
['1400.2.a.b', '1400.2.a.n']
['1400.2.a.c', '1400.2.a.s']
['1400.2.a.d', '1400.2.a.e']
['1400.2.a.g', '1400.2.a.h']
['1400.2.a.i', '1400.2.a.j']
['1400.2.a.l', '1400.2.a.t']
['1400.2.a.o', '1400.2.a.t']
['1400.2.a.q', '1400.2.a.s']
['1404.2.a.b', '7020.2.a.ba']
['1404.2.a.c', '7020.2.a.bf']
['1406.2.a.c', '7030.2.a.a']
['1407.2.a.c', '1407.2.a.i']
['1408.2.a.a', '1408.2.a.p']
['1408.2.a.b', '1408.2.a.j']
['1408.2.a.c', '1408.2.a.e']
['1408.2.a.d', '1408.2.a.k']
['1408.2.a.g', '7040.2.a.bm']
['1408.2.a.h', '7040.2.a.bn']
['1408.2.a.l', '7040.2.a.bk']
['1408.2.a.o', '7040.2.a.bl']
['141.2.a.d', '705.2.a.c']
['1410.2.a.d', '1410.2.a.l']
['1410.2.a.e', '282.2.a.d']
['1410.2.a.f', '282.2.a.d']
['1410.2.a.p', '282.2.a.a']
['1416.2.a.f', '7080.2.a.b']
['142.2.a.e', '3550.2.a.o']
['1421.2.a.c', '7105.2.a.o']
['1421.2.a.j', '7105.2.a.p']
['1422.2.a.a', '7110.2.a.c']
['1422.2.a.f', '1422.2.a.m']
['1422.2.a.f', '1422.2.a.n']
['1422.2.a.h', '7110.2.a.bs']
['1422.2.a.h', '7110.2.a.t']
['1422.2.a.i', '1422.2.a.n']
['1422.2.a.m', '7110.2.a.bf']
['1422.2.a.m', '1422.2.a.n']
['1424.2.a.d', '7120.2.a.ba']
['1424.2.a.h', '7120.2.a.z']
['1424.2.a.h', '7120.2.a.k']
['1424.2.a.i', '7120.2.a.b']
['1425.2.a.a', '1425.2.a.b']
['1425.2.a.i', '1425.2.a.t']
['1425.2.a.j', '1425.2.a.s']
['1425.2.a.s', '1425.2.a.w']
['1425.2.a.t', '1425.2.a.x']
['1426.2.a.a', '7130.2.a.l']
['1428.2.a.a', '1428.2.a.c']
['1430.2.a.e', '286.2.a.f']
['1430.2.a.r', '286.2.a.b']
['1430.2.a.s', '286.2.a.e']
['1434.2.a.d', '7170.2.a.d']
['144.2.a.a', '3600.2.a.q']
['1442.2.a.a', '1442.2.a.g']
['1444.2.a.a', '7220.2.a.b']
['1444.2.a.b', '7220.2.a.n']
['1444.2.a.c', '7220.2.a.o']
['1446.2.a.c', '1446.2.a.k']
['1449.2.a.a', '1449.2.a.l']
['1449.2.a.a', '7245.2.a.d']
['1449.2.a.l', '7245.2.a.d']
['145.2.a.d', '29.2.a.a']
['1450.2.a.a', '1450.2.a.j']
['1450.2.a.c', '1450.2.a.j']
['1450.2.a.e', '1450.2.a.i']
['1450.2.a.h', '1450.2.a.o']
['1452.2.a.a', '7260.2.a.e']
['1452.2.a.b', '7260.2.a.b']
['1452.2.a.d', '7260.2.a.r']
['1452.2.a.e', '7260.2.a.s']
['1455.2.a.f', '291.2.a.d']
['1456.2.a.a', '7280.2.a.v']
['1456.2.a.g', '1456.2.a.i']
['1456.2.a.h', '7280.2.a.j']
['1456.2.a.u', '7280.2.a.u']
['146.2.a.b', '730.2.a.h']
['1462.2.a.c', '7310.2.a.o']
['1462.2.a.e', '7310.2.a.g']
['1464.2.a.d', '1464.2.a.g']
['1464.2.a.f', '7320.2.a.be']
['1464.2.a.g', '1464.2.a.h']
['1470.2.a.c', '294.2.a.b']
['1470.2.a.i', '294.2.a.c']
['1470.2.a.l', '294.2.a.e']
['1470.2.a.o', '294.2.a.f']
['1472.2.a.e', '7360.2.a.cc']
['1472.2.a.f', '7360.2.a.q']
['1472.2.a.f', '7360.2.a.bq']
['1472.2.a.g', '7360.2.a.n']
['1472.2.a.g', '7360.2.a.bk']
['1472.2.a.l', '7360.2.a.by']
['1479.2.a.d', '1479.2.a.l']
['1479.2.a.e', '7395.2.a.d']
['148.2.a.a', '740.2.a.f']
['1480.2.a.c', '296.2.a.d']
['1480.2.a.d', '1480.2.a.f']
['1482.2.a.e', '1482.2.a.r']
['1482.2.a.o', '7410.2.a.h']
['1482.2.a.o', '7410.2.a.g']
['1482.2.a.s', '7410.2.a.v']
['1484.2.a.a', '1484.2.a.c']
['1484.2.a.a', '7420.2.a.e']
['1484.2.a.c', '7420.2.a.e']
['1488.2.a.c', '1488.2.a.g']
['1488.2.a.d', '1488.2.a.p']
['1488.2.a.e', '7440.2.a.bo']
['1488.2.a.f', '7440.2.a.bp']
['1488.2.a.j', '7440.2.a.v']
['1488.2.a.l', '7440.2.a.bj']
['1488.2.a.m', '7440.2.a.bw']
['1488.2.a.o', '7440.2.a.br']
['1494.2.a.d', '7470.2.a.bi']
['1494.2.a.e', '1494.2.a.i']
['1494.2.a.i', '7470.2.a.n']
['1495.2.a.a', '1495.2.a.e']
['1496.2.a.b', '1496.2.a.c']
['1498.2.a.i', '7490.2.a.d']
['1506.2.a.e', '1506.2.a.j']
['1506.2.a.e', '7530.2.a.s']
['1506.2.a.j', '7530.2.a.s']
['1509.2.a.a', '1509.2.a.c']
['1510.2.a.a', '1510.2.a.e']
['1510.2.a.d', '1510.2.a.e']
['1512.2.a.a', '1512.2.a.i']
['1512.2.a.a', '7560.2.a.m']
['1512.2.a.b', '1512.2.a.l']
['1512.2.a.b', '7560.2.a.d']
['1512.2.a.c', '7560.2.a.bn']
['1512.2.a.d', '7560.2.a.bk']
['1512.2.a.f', '7560.2.a.z']
['1512.2.a.g', '7560.2.a.bt']
['1512.2.a.h', '7560.2.a.bq']
['1512.2.a.i', '7560.2.a.m']
['1512.2.a.j', '7560.2.a.bh']
['1512.2.a.l', '7560.2.a.d']
['1518.2.a.b', '1518.2.a.f']
['1518.2.a.c', '7590.2.a.bn']
['1518.2.a.h', '7590.2.a.k']
['1518.2.a.j', '7590.2.a.j']
['1518.2.a.j', '1518.2.a.u']
['1518.2.a.j', '7590.2.a.bq']
['1518.2.a.l', '1518.2.a.o']
['1518.2.a.q', '7590.2.a.bk']
['1518.2.a.r', '7590.2.a.bm']
['1518.2.a.s', '1518.2.a.t']
['1518.2.a.u', '7590.2.a.j']
['1518.2.a.u', '7590.2.a.bq']
['1518.2.a.y', '7590.2.a.f']
['1518.2.a.y', '7590.2.a.bj']
['152.2.a.a', '760.2.a.h']
['1520.2.a.a', '1520.2.a.h']
['1520.2.a.b', '304.2.a.a']
['1520.2.a.p', '304.2.a.d']
['1520.2.a.r', '304.2.a.e']
['1521.2.a.a', '7605.2.a.bu']
['1521.2.a.d', '7605.2.a.bt']
['1525.2.a.b', '1525.2.a.c']
['1530.2.a.a', '306.2.a.e']
['1530.2.a.e', '306.2.a.e']
['1530.2.a.g', '1530.2.a.h']
['1530.2.a.k', '306.2.a.f']
['1530.2.a.l', '1530.2.a.s']
['1530.2.a.m', '306.2.a.f']
['1530.2.a.n', '1530.2.a.o']
['1530.2.a.s', '306.2.a.d']
['1534.2.a.g', '7670.2.a.q']
['1539.2.a.b', '1539.2.a.c']
['1539.2.a.d', '1539.2.a.e']
['154.2.a.a', '770.2.a.c']
['1540.2.a.g', '308.2.a.a']
['1542.2.a.e', '7710.2.a.g']
['1546.2.a.c', '7730.2.a.o']
['1546.2.a.d', '1546.2.a.f']
['1546.2.a.e', '7730.2.a.d']
['1550.2.a.b', '1550.2.a.c']
['1550.2.a.d', '1550.2.a.o']
['1550.2.a.f', '1550.2.a.p']
['1550.2.a.k', '1550.2.a.n']
['1550.2.a.l', '1550.2.a.o']
['1550.2.a.m', '1550.2.a.p']
['1552.2.a.a', '1552.2.a.f']
['1554.2.a.a', '7770.2.a.bz']
['1554.2.a.b', '1554.2.a.f']
['1554.2.a.b', '7770.2.a.bs']
['1554.2.a.e', '7770.2.a.k']
['1554.2.a.f', '7770.2.a.bs']
['1554.2.a.i', '7770.2.a.bo']
['1554.2.a.m', '1554.2.a.s']
['1554.2.a.n', '1554.2.a.s']
['1554.2.a.r', '7770.2.a.cd']
['1554.2.a.r', '7770.2.a.r']
['1554.2.a.r', '7770.2.a.bu']
['1554.2.a.w', '7770.2.a.bb']
['156.2.a.a', '780.2.a.b']
['156.2.a.b', '3900.2.a.x']
['1560.2.a.c', '1560.2.a.d']
['1560.2.a.m', '312.2.a.c']
['1560.2.a.q', '312.2.a.d']
['1566.2.a.b', '7830.2.a.d']
['1566.2.a.e', '1566.2.a.u']
['1566.2.a.f', '7830.2.a.h']
['1566.2.a.m', '7830.2.a.l']
['1566.2.a.o', '1566.2.a.v']
['1566.2.a.p', '7830.2.a.r']
['1566.2.a.s', '7830.2.a.bl']
['1566.2.a.t', '7830.2.a.bt']
['1568.2.a.n', '7840.2.a.bp']
['1568.2.a.s', '7840.2.a.bu']
['1570.2.a.d', '1570.2.a.h']
['1573.2.a.g', '7865.2.a.n']
['1573.2.a.h', '7865.2.a.m']
['1575.2.a.a', '1575.2.a.w']
['1575.2.a.b', '1575.2.a.y']
['1575.2.a.c', '1575.2.a.e']
['1575.2.a.d', '1575.2.a.z']
['1575.2.a.g', '1575.2.a.y']
['1575.2.a.j', '1575.2.a.z']
['1575.2.a.k', '1575.2.a.x']
['1575.2.a.o', '1575.2.a.x']
['1575.2.a.q', '1575.2.a.y']
['1575.2.a.t', '1575.2.a.w']
['158.2.a.a', '790.2.a.e']
['158.2.a.b', '158.2.a.f']
['1584.2.a.a', '7920.2.a.bf']
['1584.2.a.b', '7920.2.a.cn']
['1584.2.a.c', '1584.2.a.p']
['1584.2.a.g', '1584.2.a.s']
['1584.2.a.g', '7920.2.a.cj']
['1584.2.a.g', '7920.2.a.d']
['1584.2.a.r', '7920.2.a.cm']
['1584.2.a.s', '7920.2.a.cj']
['1584.2.a.s', '7920.2.a.d']
['1587.2.a.c', '7935.2.a.w']
['1587.2.a.d', '7935.2.a.v']
['1590.2.a.a', '318.2.a.b']
['1590.2.a.c', '318.2.a.a']
['1590.2.a.i', '318.2.a.f']
['1590.2.a.j', '1590.2.a.l']
['1590.2.a.p', '1590.2.a.r']
['1598.2.a.f', '7990.2.a.a']
['1599.2.a.a', '7995.2.a.a']
['1600.2.a.a', '1600.2.a.v']
['1600.2.a.b', '1600.2.a.u']
['1600.2.a.d', '1600.2.a.y']
['1600.2.a.f', '1600.2.a.x']
['1600.2.a.g', '1600.2.a.h']
['1600.2.a.l', '1600.2.a.n']
['1600.2.a.r', '1600.2.a.s']
['1602.2.a.j', '8010.2.a.c']
['1603.2.a.a', '8015.2.a.g']
['1611.2.a.e', '8055.2.a.m']
['1617.2.a.e', '1617.2.a.o']
['162.2.a.b', '4050.2.a.bl']
['162.2.a.c', '4050.2.a.bu']
['1624.2.a.a', '1624.2.a.g']
['1632.2.a.c', '8160.2.a.t']
['1632.2.a.e', '8160.2.a.h']
['1632.2.a.h', '8160.2.a.x']
['1632.2.a.k', '8160.2.a.p']
['1634.2.a.a', '1634.2.a.f']
['1634.2.a.b', '1634.2.a.d']
['1638.2.a.f', '1638.2.a.w']
['1638.2.a.g', '8190.2.a.m']
['1638.2.a.h', '8190.2.a.u']
['1638.2.a.j', '8190.2.a.f']
['1638.2.a.k', '8190.2.a.bn']
['1638.2.a.k', '1638.2.a.r']
['1638.2.a.n', '8190.2.a.bb']
['1638.2.a.r', '8190.2.a.bn']
['1638.2.a.w', '8190.2.a.y']
['1640.2.a.d', '328.2.a.e']
['1640.2.a.f', '1640.2.a.h']
['1640.2.a.g', '1640.2.a.h']
['1648.2.a.a', '1648.2.a.c']
['1648.2.a.a', '8240.2.a.q']
['1648.2.a.c', '8240.2.a.q']
['1648.2.a.h', '8240.2.a.v']
['1649.2.a.a', '1649.2.a.b']
['1650.2.a.a', '1650.2.a.d']
['1650.2.a.a', '1650.2.a.c']
['1650.2.a.c', '1650.2.a.d']
['1650.2.a.f', '1650.2.a.j']
['1650.2.a.g', '1650.2.a.k']
['1650.2.a.i', '66.2.a.a']
['1650.2.a.l', '1650.2.a.m']
['1650.2.a.n', '1650.2.a.p']
['1650.2.a.q', '1650.2.a.s']
