['9576.2.a.bc', '9576.2.a.cl']
['9610.2.a.bc', '9610.2.a.z']
['9610.2.a.bg', '9610.2.a.bj']
['9610.2.a.bk', '9610.2.a.bm']
['9610.2.a.bm', '9610.2.a.bw']
['9610.2.a.bn', '9610.2.a.bv']
['9610.2.a.bv', '9610.2.a.bx']
['9630.2.a.bc', '9630.2.a.u']
['9648.2.a.bl', '9648.2.a.by']
['9690.2.a.br', '9690.2.a.bx']
['9750.2.a.d', '9750.2.a.p']
['9750.2.a.g', '9750.2.a.t']
['9834.2.a.h', '9834.2.a.s']
['987.2.a.f', '987.2.a.i']
['9954.2.a.ba', '9954.2.a.w']
['9975.2.a.ba', '9975.2.a.y']
['9975.2.a.bh', '9975.2.a.bi']
