23:8775.2.a.bf:[2, 0, 0, -4, 4, 2, 8, 12, -6, -2, -2, -8, 0, -2, -14, -10, 12, -8, -4, 12, 12, 18, -4, -8, -8, -24, 2, -8, -4, -14]:[-2, 0, 0, 1, -8, 1, 16, 36, 9, -26, -2, -11, -3, -26, 46, 13, 33, -32, -23, -39, 9, 81, -44, -11, -92, 144, -146, -92, -44, -143]:8775.2.a.s:[-2, 0, 0, 2, 2, 2, 2, -8, 0, 0, 12, -12, 6, -4, 20, 18, -6, 2, -14, 14, -6, 18, 12, -12, -26, -4, 16, -22, 20, 18]:[-1, 0, 0, -7, -7, 1, -31, 8, -32, -32, 36, 36, 1, -28, 92, 81, -63, 1, -23, 41, -63, 81, 28, 36, 161, -4, 56, 89, 28, 49]
23:8820.2.a.bd:[0, 0, -2, 0, -4, 0, 0, 0, -4, 4, 8, 12, -12, 0, 4, -4, 0, 0, 8, -4, -8, 12, 4, -4, -24, -12, -16, -28, 12, 4]:[0, 0, 1, 0, -4, 0, -8, -2, 2, 4, 14, 28, 4, -32, -4, 2, -72, -50, 8, -28, -112, 4, -4, -68, 136, -92, 56, 178, 4, -46]:8820.2.a.bg:[0, 0, -2, 0, 2, -10, 10, 4, -4, -2, -12, -4, 4, 12, 2, 16, 4, -16, -8, 4, -16, -2, -16, 0, -6, -4, -6, 28, 18, -4]:[0, 0, 1, 0, -7, 23, 23, -28, 2, -31, 34, 2, 2, 4, -97, 46, 2, 56, -34, -68, 56, -199, 64, -288, -153, -4, 7, 188, 81, -46]
23:8820.2.a.bi:[0, 0, 2, 0, -4, 0, 0, 0, -4, 4, -8, 12, 12, 0, -4, -4, 0, 0, 8, -4, 8, 12, -4, 4, 24, 12, 16, -28, 12, 4]:[0, 0, 1, 0, -4, 0, -8, -2, 2, 4, 14, 28, 4, -32, -4, 2, -72, -50, 8, -28, -112, 4, -4, -68, 136, -92, 56, 178, 4, -46]:8820.2.a.bl:[0, 0, 2, 0, 2, 10, -10, -4, -4, -2, 12, -4, -4, 12, -2, 16, -4, 16, -8, 4, 16, -2, 16, 0, 6, 4, 6, 28, 18, -4]:[0, 0, 1, 0, -7, 23, 23, -28, 2, -31, 34, 2, 2, 4, -97, 46, 2, 56, -34, -68, 56, -199, 64, -288, -153, -4, 7, 188, 81, -46]
29:2178.2.a.bb:[2, 0, 1, -7, 0, 2, 4, 2, 2, -3, 15, 12, -2, 2, 4, 1, 1, 18, 8, -16, 7, 3, -17, 10, 7, -27, -5, 13, -8, 16]:[1, 0, -11, 11, 0, -4, -16, -4, -4, 1, 55, 16, -4, -4, -16, -11, -11, 76, 16, 44, -49, -59, 11, -20, -49, 181, -205, 41, -164, 44]:2178.2.a.x:[2, 0, -2, 4, 0, 2, 1, 5, 2, 0, 4, 6, 9, -3, 4, 12, 15, -4, 11, 6, -23, 0, 3, 5, 21, 14, 18, -9, -20, -3]:[1, 0, -4, 4, 0, -4, -1, -5, -4, -20, 4, -36, 19, -99, -16, 16, 55, -16, -1, 4, 131, -180, -59, -25, 99, -76, 36, 9, 20, -9]
29:2178.2.a.p:[-2, 0, -2, -4, 0, -2, -1, -5, 2, 0, 4, 6, -9, 3, 4, 12, 15, 4, 11, 6, 23, 0, -3, 5, 21, -14, 18, 9, 20, -3]:[1, 0, -4, 4, 0, -4, -1, -5, -4, -20, 4, -36, 19, -99, -16, 16, 55, -16, -1, 4, 131, -180, -59, -25, 99, -76, 36, 9, 20, -9]:2178.2.a.t:[-2, 0, 1, 7, 0, -2, -4, -2, 2, 3, 15, 12, 2, -2, 4, 1, 1, -18, 8, -16, -7, -3, 17, 10, 7, 27, -5, -13, 8, 16]:[1, 0, -11, 11, 0, -4, -16, -4, -4, 1, 55, 16, -4, -4, -16, -11, -11, 76, 16, 44, -49, -59, 11, -20, -49, 181, -205, 41, -164, 44]
29:2250.2.a.c:[-2, 0, 0, -2, -5, 1, -3, 12, -5, -3, 11, -9, 2, -7, -15, -2, -15, 0, -7, 0, -24, -9, -6, 14, -14, -11, 8, 6, 0, 9]:[1, 0, 0, -4, 5, -11, -9, 36, -25, -59, 19, 9, -4, 1, 45, -4, 55, -180, 11, -80, 144, 9, -116, 44, -76, -31, 16, -116, -180, -41]:2250.2.a.f:[-2, 0, 0, 1, 6, -2, -6, -10, -13, 5, -6, -4, -9, -7, -1, -8, 10, 9, -4, 6, -2, 0, -3, -5, -14, -19, 8, -11, 5, -18]:[1, 0, 0, -11, 4, -4, 4, 20, 41, 5, -36, -76, 19, 1, -61, -64, 20, 9, -16, 4, -4, -180, -29, -25, -76, 89, 16, 29, 5, 36]
29:2250.2.a.m:[2, 0, 0, -1, 6, 2, 6, -10, 13, 5, -6, 4, -9, 7, 1, 8, 10, 9, 4, 6, 2, 0, 3, -5, 14, -19, -8, 11, 5, 18]:[1, 0, 0, -11, 4, -4, 4, 20, 41, 5, -36, -76, 19, 1, -61, -64, 20, 9, -16, 4, -4, -180, -29, -25, -76, 89, 16, 29, 5, 36]:2250.2.a.n:[2, 0, 0, 2, -5, -1, 3, 12, 5, -3, 11, 9, 2, 7, 15, 2, -15, 0, 7, 0, 24, -9, 6, 14, 14, -11, -8, -6, 0, -9]:[1, 0, 0, -4, 5, -11, -9, 36, -25, -59, 19, 9, -4, 1, 45, -4, 55, -180, 11, -80, 144, 9, -116, 44, -76, -31, 16, -116, -180, -41]
29:2394.2.a.w:[2, 0, -1, 2, -7, 6, 4, -2, -2, 11, 8, 3, 5, -13, 1, 25, 11, 11, 4, -3, -10, -11, 0, 5, 1, -12, 22, 6, -1, 0]:[1, 0, -11, 1, 11, 4, -16, 1, -44, 19, -4, -9, -55, 41, -11, 155, 19, -31, -76, -209, 20, -31, -80, 5, -11, -44, 116, 4, -61, -80]:2394.2.a.z:[2, 0, 2, 2, 4, 6, 4, -2, -2, -8, 2, 6, -4, 12, -10, -8, 8, 16, 4, -20, 12, 2, 0, -12, 12, 26, 6, 0, 10, -16]:[1, 0, -4, 1, 4, 4, -16, 1, -44, -4, -44, 4, -76, 16, 20, -4, -64, 44, -76, 80, 36, -124, -80, -44, 16, 124, -236, -80, -20, 44]
29:3249.2.a.i:[-1, 0, -2, 6, 1, -2, -6, 0, -13, 5, -11, 11, 6, -7, -6, -3, 15, -16, -14, 6, 8, 0, -8, 20, 21, -4, 13, -6, -20, -18]:[-1, 0, -4, 9, -1, 1, 4, 0, 41, 5, 19, 19, 9, 1, 9, -59, -5, 59, 49, -11, -29, -180, -4, 95, 99, -121, -19, -171, 55, 76]:3249.2.a.j:[-1, 0, 1, -5, -2, 9, 2, 0, -2, -6, 3, 0, -5, -2, -17, -20, -4, -2, 11, -11, 8, 2, 6, 12, -10, -4, 21, -22, 18, -29]:[-1, 0, -11, 5, -19, 19, -19, 0, 1, 4, 1, -20, 5, -79, 71, 95, 4, -4, 19, -1, -29, -19, 9, 16, -100, -121, 109, 121, 1, 199]
29:3249.2.a.o:[1, 0, -2, 6, 1, 2, -6, 0, -13, -5, 11, -11, -6, -7, -6, 3, -15, -16, 14, -6, 8, 0, -8, -20, -21, -4, -13, 6, 20, 18]:[-1, 0, -4, 9, -1, 1, 4, 0, 41, 5, 19, 19, 9, 1, 9, -59, -5, 59, 49, -11, -29, -180, -4, 95, 99, -121, -19, -171, 55, 76]:3249.2.a.p:[1, 0, 1, -5, -2, -9, 2, 0, -2, 6, -3, 0, 5, -2, -17, 20, 4, -2, -11, 11, 8, -2, 6, -12, 10, -4, -21, 22, -18, 29]:[-1, 0, -11, 5, -19, 19, -19, 0, 1, 4, 1, -20, 5, -79, 71, 95, 4, -4, 19, -1, -29, -19, 9, 16, -100, -121, 109, 121, 1, 199]
29:4356.2.a.r:[0, 0, 1, -4, 0, -4, 7, -7, 10, -4, 9, 0, 4, -14, 1, -11, 1, -15, -11, 9, -18, -4, 8, -12, 1, -28, 8, 0, 0, -2]:[0, 0, -1, -1, 0, -1, 1, 1, 25, 4, 19, -5, -41, 29, -101, 29, -151, 45, 29, -81, 36, -41, 11, -89, -211, 191, -164, -245, -80, -79]:4356.2.a.t:[0, 0, 1, -1, 0, 7, -7, 1, -4, -15, -5, 3, -15, 0, -5, -3, 9, 7, 8, 15, -13, -21, 3, 8, -9, -11, -9, 3, -16, -15]:[0, 0, -1, -11, 0, 11, 11, -11, -16, 55, -5, -9, 55, 0, 5, -29, -11, 11, -64, 55, 11, 99, -209, -4, -81, -121, 9, -99, 44, -45]
29:4356.2.a.u:[0, 0, 1, 1, 0, -7, 7, -1, -4, 15, -5, 3, 15, 0, -5, -3, 9, -7, 8, 15, 13, 21, -3, 8, -9, 11, -9, -3, 16, -15]:[0, 0, -1, -11, 0, 11, 11, -11, -16, 55, -5, -9, 55, 0, 5, -29, -11, 11, -64, 55, 11, 99, -209, -4, -81, -121, 9, -99, 44, -45]:4356.2.a.w:[0, 0, 1, 4, 0, 4, -7, 7, 10, 4, 9, 0, -4, 14, 1, -11, 1, 15, -11, 9, 18, 4, -8, -12, 1, 28, 8, 0, 0, -2]:[0, 0, -1, -1, 0, -1, 1, 1, 25, 4, 19, -5, -41, 29, -101, 29, -151, 45, 29, -81, 36, -41, 11, -89, -211, 191, -164, -245, -80, -79]
29:4725.2.a.bb:[0, 0, 0, 2, 0, 4, 0, 14, 0, 0, 6, 6, 0, -16, 0, 0, 0, -16, 4, 0, 0, -8, 0, 0, 24, 0, 26, 0, 18, 0]:[-7, 0, 0, 1, -7, 4, 0, 49, -63, -28, 9, 9, -7, 64, 0, 0, 0, 64, 4, -63, 0, 16, -252, -343, 144, -112, 169, -28, 81, -28]:4725.2.a.x:[-1, 0, 0, 2, 2, 1, -11, 3, -11, -1, 6, 6, 1, 20, -8, -11, 8, 9, -1, 11, 14, -3, 2, 18, -3, 4, -13, -16, -7, 17]:[-1, 0, 0, 1, -19, -31, 29, 1, 29, -11, 9, 9, -1, 95, -29, 29, -29, 9, -151, 19, 29, -149, -179, 61, -209, -16, -19, 19, 1, -29]
29:4725.2.a.bb:[0, 0, 0, 2, 0, 4, 0, 14, 0, 0, 6, 6, 0, -16, 0, 0, 0, -16, 4, 0, 0, -8, 0, 0, 24, 0, 26, 0, 18, 0]:[-7, 0, 0, 1, -7, 4, 0, 49, -63, -28, 9, 9, -7, 64, 0, 0, 0, 64, 4, -63, 0, 16, -252, -343, 144, -112, 169, -28, 81, -28]:4725.2.a.bc:[1, 0, 0, 2, -2, 1, 11, 3, 11, 1, 6, 6, -1, 20, 8, 11, -8, 9, -1, -11, 14, -3, -2, -18, -3, -4, -13, 16, -7, -17]:[-1, 0, 0, 1, -19, -31, 29, 1, 29, -11, 9, 9, -1, 95, -29, 29, -29, 9, -151, 19, 29, -149, -179, 61, -209, -16, -19, 19, 1, -29]
29:5418.2.a.bb:[-2, 0, 3, -2, -2, -6, 7, -7, 7, 1, -1, -7, 7, 2, 3, -4, -8, 0, 10, -10, -4, -7, -12, 4, -9, -6, -23, -16, -18, 4]:[1, 0, 1, 1, -4, 4, 11, 11, 1, -11, -101, -19, -49, 1, -29, -16, 16, -180, 20, 20, -16, -139, 36, -16, 19, -36, 121, 44, -44, -176]:5418.2.a.x:[-2, 0, -5, -2, 1, -3, -5, 2, -6, 6, 16, 9, 7, 2, 5, 1, -8, -16, -10, 5, -11, -1, -10, 10, -18, 22, -10, -8, 12, -1]:[1, 0, 3, 1, -3, -1, -23, -12, -4, -4, 64, 17, 9, 1, -23, -3, 16, 64, -92, -75, -51, -29, -92, 12, 68, 108, 12, -192, -172, -81]
